,name,Bplaces,Btransitions,Barcs,cfp-Aplaces,cfp-Atransitions,cfp-Aarcs,cfp-unfoldingtime,colorfixedpoint,trunk-Aplaces,trunk-Atransitions,trunk-Aarcs,trunk-unfoldingtime,size_ratio,unfolding_ratio
QuasiCertifProtocol-COL-32,QuasiCertifProtocol-COL-32,30.0,26.0,77.0,3806.0,506.0,8173.0,0.008139906249999999,0.13821278125,3806.0,506.0,8173.0,0.008821843749999999,1.0,16.589807261095505
Peterson-COL-5,Peterson-COL-5,11.0,14.0,42.0,864.0,1302.0,4068.0,0.0154458125,0.06205540625,864.0,1302.0,4068.0,0.004471968750000001,1.0,17.330447300196358
BridgeAndVehicles-COL-V04P05N02,BridgeAndVehicles-COL-V04P05N02,15.0,11.0,56.0,28.0,52.0,326.0,0.00031640625,0.0043379062500000015,28.0,52.0,326.0,0.00024871875,1.0,18.71315491895967
Peterson-COL-6,Peterson-COL-6,11.0,14.0,42.0,1372.0,2114.0,6608.0,0.009109156249999998,0.12976984375,1372.0,2114.0,6608.0,0.007329499999999999,1.0,18.947950064806605
Peterson-COL-7,Peterson-COL-7,11.0,14.0,42.0,2048.0,3208.0,10032.0,0.013916343749999997,0.25159012499999994,2048.0,3208.0,10032.0,0.011078718749999997,1.0,23.96544896042243
TokenRing-COL-010,TokenRing-COL-010,1.0,2.0,4.0,121.0,1111.0,4444.0,0.004912906250000001,0.11733915625,121.0,1111.0,4444.0,0.003927375,1.0,31.128186765969637
TokenRing-COL-015,TokenRing-COL-015,1.0,2.0,4.0,256.0,3616.0,14464.0,0.015747375,0.6910975000000001,256.0,3616.0,14464.0,0.01233940625,1.0,57.28354028379608
BridgeAndVehicles-COL-V10P10N10,BridgeAndVehicles-COL-V10P10N10,15.0,11.0,56.0,48.0,288.0,2090.0,0.00140546875,0.11066924999999998,48.0,288.0,2090.0,0.0012886875000000001,1.0,86.96811193559336
TokenRing-COL-020,TokenRing-COL-020,1.0,2.0,4.0,441.0,8421.0,33684.0,0.03871240625,2.56333625,441.0,8421.0,33684.0,0.029707187500000006,1.0,87.5898688238326
TokenRing-COL-030,TokenRing-COL-030,1.0,2.0,4.0,961.0,27931.0,111724.0,0.12227165625,17.2694625,961.0,27931.0,111724.0,0.1001740625,1.0,173.61514270472958
BridgeAndVehicles-COL-V20P10N10,BridgeAndVehicles-COL-V20P10N10,15.0,11.0,56.0,68.0,548.0,4070.0,0.00264696875,0.6895421250000001,68.0,548.0,4070.0,0.00291065625,1.0,237.8120376633277
BridgeAndVehicles-COL-V20P20N10,BridgeAndVehicles-COL-V20P20N10,15.0,11.0,56.0,68.0,548.0,4070.0,0.0026570625000000006,0.6917873125,68.0,548.0,4070.0,0.00290428125,1.0,239.11058028556977
TokenRing-COL-040,TokenRing-COL-040,1.0,2.0,4.0,1681.0,65641.0,262564.0,0.294678875,68.801825,1681.0,65641.0,262564.0,0.2591603125,1.0,266.6168411685335
BridgeAndVehicles-COL-V20P10N20,BridgeAndVehicles-COL-V20P10N20,15.0,11.0,56.0,78.0,968.0,7350.0,0.004733750000000001,1.4289975000000001,78.0,968.0,7350.0,0.0052734375,1.0,271.8779259259259
BridgeAndVehicles-COL-V20P20N20,BridgeAndVehicles-COL-V20P20N20,15.0,11.0,56.0,78.0,968.0,7350.0,0.004743906249999999,1.473613125,78.0,968.0,7350.0,0.00527165625,1.0,280.43502101450565
BridgeAndVehicles-COL-V20P20N50,BridgeAndVehicles-COL-V20P20N50,15.0,11.0,56.0,108.0,2228.0,17190.0,0.0107728125,3.6770159375,108.0,2228.0,17190.0,0.012111187499999999,1.0,304.4943982578092
BridgeAndVehicles-COL-V20P10N50,BridgeAndVehicles-COL-V20P10N50,15.0,11.0,56.0,108.0,2228.0,17190.0,0.015692406250000002,3.7246637500000004,108.0,2228.0,17190.0,0.012151375,1.0,307.8134084620053
TokenRing-COL-050,TokenRing-COL-050,1.0,2.0,4.0,2601.0,127551.0,510204.0,0.572576,204.0595625,2601.0,127551.0,510204.0,0.5143438125,1.0,397.85088014449474
BridgeAndVehicles-COL-V50P50N10,BridgeAndVehicles-COL-V50P50N10,15.0,11.0,56.0,128.0,1328.0,10010.0,0.00803196875,9.958046562500002,128.0,1328.0,10010.0,0.010354468750000003,1.0,962.490570194632
BridgeAndVehicles-COL-V50P20N10,BridgeAndVehicles-COL-V50P20N10,15.0,11.0,56.0,128.0,1328.0,10010.0,0.00617209375,10.129970624999999,128.0,1328.0,10010.0,0.010358031249999998,1.0,978.5781172218417
BridgeAndVehicles-COL-V50P20N50,BridgeAndVehicles-COL-V50P20N50,15.0,11.0,56.0,168.0,5408.0,42330.0,0.026021281249999993,45.38540312499999,168.0,5408.0,42330.0,0.04580875000000001,1.0,991.326425764728
BridgeAndVehicles-COL-V50P20N20,BridgeAndVehicles-COL-V50P20N20,15.0,11.0,56.0,138.0,2348.0,18090.0,0.011238593750000001,19.04105625,138.0,2348.0,18090.0,0.019189593749999997,1.0,992.8451374198582
BridgeAndVehicles-COL-V50P50N50,BridgeAndVehicles-COL-V50P50N50,15.0,11.0,56.0,168.0,5408.0,42330.0,0.02598453125,45.753975000000004,168.0,5408.0,42330.0,0.04578574999999999,1.0,999.873531202394
BridgeAndVehicles-COL-V50P50N20,BridgeAndVehicles-COL-V50P50N20,15.0,11.0,56.0,138.0,2348.0,18090.0,0.011017062499999999,19.61775,138.0,2348.0,18090.0,0.019196000000000005,1.0,1022.5446479735359
BridgeAndVehicles-COL-V80P50N10,BridgeAndVehicles-COL-V80P50N10,15.0,11.0,56.0,188.0,2108.0,15950.0,0.009838093749999999,37.90949687500001,188.0,2108.0,15950.0,0.021980124999999996,1.0,1725.1646643843023
BridgeAndVehicles-COL-V80P20N10,BridgeAndVehicles-COL-V80P20N10,15.0,11.0,56.0,188.0,2108.0,15950.0,0.009898031250000001,38.72635,188.0,2108.0,15950.0,0.021991843750000007,1.0,1761.3915627810873
BridgeAndVehicles-COL-V80P20N20,BridgeAndVehicles-COL-V80P20N20,15.0,11.0,56.0,198.0,3728.0,28830.0,0.017782406249999997,72.4941125,198.0,3728.0,28830.0,0.040986625,1.0,1769.159937083134
BridgeAndVehicles-COL-V80P50N50,BridgeAndVehicles-COL-V80P50N50,15.0,11.0,56.0,228.0,8588.0,67470.0,0.04136709374999999,173.14396874999994,228.0,8588.0,67470.0,0.09724050000000002,1.0,1781.0000549539534
BridgeAndVehicles-COL-V80P50N20,BridgeAndVehicles-COL-V80P50N20,15.0,11.0,56.0,198.0,3728.0,28830.0,0.01745878125,72.84479375,198.0,3728.0,28830.0,0.04085734375,1.0,1783.333076596542
BridgeAndVehicles-COL-V80P20N50,BridgeAndVehicles-COL-V80P20N50,15.0,11.0,56.0,228.0,8588.0,67470.0,0.04127853125,173.7148125,228.0,8588.0,67470.0,0.09734712499999999,1.0,1784.9124052841828
BART-COL-002,BART-COL-002,4.0,7.0,26.0,514.0,424.0,3440.0,0.017140093750000005,3.449576875000001,,,,,,
BART-COL-005,BART-COL-005,4.0,7.0,26.0,955.0,1060.0,8600.0,0.012736218750000002,10.732612500000002,,,,,,
BART-COL-010,BART-COL-010,4.0,7.0,26.0,1690.0,2120.0,17200.0,0.023171625,21.048121875,,,,,,
BART-COL-020,BART-COL-020,4.0,7.0,26.0,3160.0,4240.0,34400.0,0.047263312499999995,42.34230625,,,,,,
BART-COL-030,BART-COL-030,4.0,7.0,26.0,4630.0,6360.0,51600.0,0.06771378125,22.595299999999995,,,,,,
BART-COL-040,BART-COL-040,4.0,7.0,26.0,6100.0,8480.0,68800.0,0.09207240625,30.111268749999997,,,,,,
BART-COL-050,BART-COL-050,4.0,7.0,26.0,7570.0,10600.0,86000.0,0.11994106249999997,110.07728125,,,,,,
BART-COL-060,BART-COL-060,4.0,7.0,26.0,9040.0,12720.0,103200.0,0.14209253125000001,46.717353124999995,,,,,,
SharedMemory-COL-002000,SharedMemory-COL-002000,6.0,5.0,16.0,4008001.0,8004000.0,32008000.0,39.911381249999984,8.246875000000004e-05,,,,,,
Sudoku-COL-AN01,Sudoku-COL-AN01,4.0,1.0,4.0,4.0,1.0,4.0,2.76875e-05,6.50625e-05,,,,,,
Sudoku-COL-AN02,Sudoku-COL-AN02,4.0,1.0,4.0,20.0,8.0,32.0,7.387499999999999e-05,6.146874999999999e-05,,,,,,
Sudoku-COL-AN03,Sudoku-COL-AN03,4.0,1.0,4.0,54.0,27.0,108.0,0.00017671874999999998,7.075000000000001e-05,,,,,,
